unique_id,ds,y
bihar,2021-10-01,998599.0
bihar,2021-11-01,1038013.0
bihar,2021-12-01,1215248.0
bihar,2022-01-01,1273969.0
bihar,2022-02-01,1277281.0
bihar,2022-03-01,1529144.0
bihar,2022-04-01,1599382.0
bihar,2022-05-01,1432726.0
bihar,2022-06-01,1256832.0
bihar,2022-07-01,1264928.0
bihar,2022-08-01,1393391.0
bihar,2022-09-01,1589290.0
bihar,2022-10-01,1346071.0
bihar,2022-11-01,1379357.0
bihar,2022-12-01,1415643.0
bihar,2023-01-01,1558455.0
bihar,2023-02-01,1659527.0
bihar,2023-03-01,1805517.0
bihar,2023-04-01,1729461.0
bihar,2023-05-01,1733773.0
bihar,2023-06-01,1490990.0
bihar,2023-07-01,1465371.0
bihar,2023-08-01,1511756.0
bihar,2023-09-01,1667223.0
bihar,2023-10-01,1797765.0
bihar,2023-11-01,1537753.0
bihar,2023-12-01,1648751.0
bihar,2024-01-01,1727412.0
bihar,2024-02-01,1787731.0
bihar,2024-03-01,1947226.0
bihar,2024-04-01,1804463.0
bihar,2024-05-01,1863092.0
bihar,2024-06-01,1860390.0
bihar,2024-07-01,1785631.0
bihar,2024-08-01,1798957.0
bihar,2024-09-01,2000130.0
bihar,2024-10-01,2192688.0
bihar,2024-11-01,1722927.0
bihar,2024-12-01,1875430.0
bihar,2025-01-01,2159150.0
bihar,2025-02-01,2059538.0
bihar,2025-03-01,2349845.0
bihar,2025-04-01,2315969.0
bihar,2025-05-01,2362771.0
bihar,2025-06-01,2213480.0
bihar,2025-07-01,2503527.0
bihar,2025-08-01,2619331.0
bihar,2025-09-01,2636621.0
bihar,2025-10-01,2379611.0
bihar,2025-11-01,2396585.0
bihar,2025-12-01,2500569.0
bihar,2026-01-01,2733492.0
bihar,2026-02-01,2838377.0
bihar,2026-03-01,2893565.0
bihar,2026-04-01,2841416.0
bihar,2026-05-01,2683598.0
bihar,2026-06-01,2544601.0
bihar,2026-07-01,2504510.0
chandigarh,2018-07-01,184461.0
chandigarh,2018-08-01,217144.0
chandigarh,2018-09-01,207703.0
chandigarh,2018-10-01,235651.0
chandigarh,2018-11-01,194087.0
chandigarh,2018-12-01,199483.0
chandigarh,2019-01-01,198757.0
chandigarh,2019-02-01,196524.0
